"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010810","BP","GO:0010810","regulation of cell-substrate adhesion","11/238","220/18870",0.000114935488143546,0.0140237831310172,0.0119144790603356,"MYADM/THBS1/RAC3/NID1/NEDD9/PIK3R1/CCN1/FAM107A/GPM6B/PDPN/PKP2",11
"GO:1904659","BP","GO:1904659","glucose transmembrane transport","8/238","117/18870",0.000119144790603356,0.0140237831310172,0.0119144790603356,"KLF15/IRS2/SORT1/NR4A3/PRKAG2/PIK3R1/LEP/SORBS1",8
"GO:0097501","BP","GO:0097501","stress response to metal ion","4/238","21/18870",0.000124743884396736,0.0141584308790296,0.0120288745668281,"MT2A/MT1E/MT1X/MT1M",4
"GO:0008645","BP","GO:0008645","hexose transmembrane transport","8/238","120/18870",0.00014214049916523,0.0155766381499,0.0132337706119352,"KLF15/IRS2/SORT1/NR4A3/PRKAG2/PIK3R1/LEP/SORBS1",8
"GO:0061687","BP","GO:0061687","detoxification of inorganic compound","4/238","22/18870",0.000150961709626538,0.015991877106438,0.0135865538663884,"MT2A/MT1E/MT1X/MT1M",4
"GO:0071241","BP","GO:0071241","cellular response to inorganic substance","11/238","229/18870",0.000163475270562328,0.0164693126364487,0.01399217876602,"MT2A/MT1E/FOXO1/MT1X/RASGRP2/MT1M/INHBB/KCNQ3/FABP4/PLCG2/ALOX5AP",11
"GO:0015749","BP","GO:0015749","monosaccharide transmembrane transport","8/238","123/18870",0.000168678035332706,0.0164693126364487,0.01399217876602,"KLF15/IRS2/SORT1/NR4A3/PRKAG2/PIK3R1/LEP/SORBS1",8
"GO:0007517","BP","GO:0007517","muscle organ development","14/238","354/18870",0.000171015518251356,0.0164693126364487,0.01399217876602,"LAMA2/KLF5/CITED2/ATF3/ADARB1/COL11A1/DLL4/ANKRD1/MYOZ2/NOG/TNNT2/DNER/PKP2/CHD7",14
"GO:0010038","BP","GO:0010038","response to metal ion","14/238","359/18870",0.000197617398604056,0.0176922713233318,0.0150311933835732,"MT2A/IMPA2/MT1E/MT1X/THBS1/RASGRP2/MT1M/INHBB/KCNQ3/FABP4/TRPV6/PLCG2/ALOX5AP/TNNT2",14
"GO:0060070","BP","GO:0060070","canonical Wnt signaling pathway","13/238","316/18870",0.000198729612786653,0.0176922713233318,0.0150311933835732,"FZD8/FOXO1/NKD1/DAAM2/FZD5/NID1/GPRC5B/EDA/FRZB/NKD2/NOG/LGR5/IGFBP2",13
"GO:0032891","BP","GO:0032891","negative regulation of organic acid transport","4/238","24/18870",0.000214991911995716,0.0176922713233318,0.0150311933835732,"IRS2/THBS1/LEP/HTR1B",4
"GO:0035357","BP","GO:0035357","peroxisome proliferator activated receptor signaling pathway","4/238","24/18870",0.000214991911995716,0.0176922713233318,0.0150311933835732,"ALOX15B/CITED2/LEP/LMO3",4
"GO:0071294","BP","GO:0071294","cellular response to zinc ion","4/238","24/18870",0.000214991911995716,0.0176922713233318,0.0150311933835732,"MT2A/MT1E/MT1X/MT1M",4
"GO:0010828","BP","GO:0010828","positive regulation of glucose transmembrane transport","5/238","44/18870",0.000222517844659433,0.0176922713233318,0.0150311933835732,"KLF15/IRS2/NR4A3/PIK3R1/SORBS1",5
"GO:0015911","BP","GO:0015911","long-chain fatty acid import across plasma membrane","3/238","10/18870",0.000222684346423307,0.0176922713233318,0.0150311933835732,"IRS2/ACSL1/THBS1",3
"GO:0032835","BP","GO:0032835","glomerulus development","6/238","69/18870",0.000233374033061074,0.0177383954031791,0.0150703799838211,"KLF15/NID1/COL4A4/COL4A3/MTSS1/NOG",6
"GO:0071248","BP","GO:0071248","cellular response to metal ion","10/238","200/18870",0.000234428133081662,0.0177383954031791,0.0150703799838211,"MT2A/MT1E/MT1X/RASGRP2/MT1M/INHBB/KCNQ3/FABP4/PLCG2/ALOX5AP",10
"GO:1900744","BP","GO:1900744","regulation of p38MAPK cascade","5/238","45/18870",0.000247782681752123,0.0183128688978662,0.0155584474588542,"PER1/DUSP1/GADD45B/LEP/PTPN22",5
"GO:0003300","BP","GO:0003300","cardiac muscle hypertrophy","7/238","99/18870",0.000258516385272835,0.0186719334635697,0.0158635054599239,"KLF15/PDLIM5/FOXO1/LMCD1/ATP2A2/NR4A3/LEP",7
"GO:0030048","BP","GO:0030048","actin filament-based movement","8/238","133/18870",0.000288167736412479,0.0191907662596829,0.0163043011016815,"CACNB2/SUN2/ATP2A2/STC1/KCND3/PDPN/TNNT2/PKP2",8
"GO:0061035","BP","GO:0061035","regulation of cartilage development","6/238","72/18870",0.000294758976619263,0.0191907662596829,0.0163043011016815,"ZBTB16/LEP/CCN1/PKDCC/FRZB/NOG",6
"GO:0071280","BP","GO:0071280","cellular response to copper ion","4/238","26/18870",0.000296551531560768,0.0191907662596829,0.0163043011016815,"MT2A/MT1E/MT1X/MT1M",4
"GO:0032836","BP","GO:0032836","glomerular basement membrane development","3/238","11/18870",0.000303342457083056,0.0191907662596829,0.0163043011016815,"NID1/COL4A4/COL4A3",3
"GO:0061383","BP","GO:0061383","trabecula morphogenesis","5/238","47/18870",0.000304792617992064,0.0191907662596829,0.0163043011016815,"ADAMTS1/FBN2/DLL4/NOG/CHD7",5
"GO:0051216","BP","GO:0051216","cartilage development","10/238","207/18870",0.000308768308077465,0.0191907662596829,0.0163043011016815,"ZBTB16/TGFBR2/LEP/CCN1/PKDCC/FRZB/COL11A1/STC1/COMP/NOG",10
"GO:0014897","BP","GO:0014897","striated muscle hypertrophy","7/238","102/18870",0.000310617496447073,0.0191907662596829,0.0163043011016815,"KLF15/PDLIM5/FOXO1/LMCD1/ATP2A2/NR4A3/LEP",7
"GO:0048738","BP","GO:0048738","cardiac muscle tissue development","11/238","247/18870",0.00031400876195831,0.0191907662596829,0.0163043011016815,"PDLIM5/CITED2/ALPK3/COL11A1/DLL4/ANKRD1/NEBL/NOG/TNNT2/PKP2/CHD7",11
"GO:0034219","BP","GO:0034219","carbohydrate transmembrane transport","8/238","136/18870",0.00033514555628745,0.0200960863751229,0.0170734528674738,"KLF15/IRS2/SORT1/NR4A3/PRKAG2/PIK3R1/LEP/SORBS1",8
"GO:0014896","BP","GO:0014896","muscle hypertrophy","7/238","104/18870",0.000349803745722175,0.0203464371413038,0.0172861486096665,"KLF15/PDLIM5/FOXO1/LMCD1/ATP2A2/NR4A3/LEP",7
"GO:0006986","BP","GO:0006986","response to unfolded protein","8/238","137/18870",0.00035212524945617,0.0203464371413038,0.0172861486096665,"DNAJB4/THBS1/ATF3/PIK3R1/HSPB3/HSPA2/ERP27/COMP",8
"GO:0070252","BP","GO:0070252","actin-mediated cell contraction","7/238","105/18870",0.000370829520739166,0.020697395268936,0.0175843194544138,"CACNB2/ATP2A2/STC1/KCND3/PDPN/TNNT2/PKP2",7
"GO:0032924","BP","GO:0032924","activin receptor signaling pathway","5/238","49/18870",0.000371224521815403,0.020697395268936,0.0175843194544138,"TGFBR2/FSTL3/CITED2/INHBB/GDF7",5
"GO:0060537","BP","GO:0060537","muscle tissue development","15/238","433/18870",0.000417657788827695,0.022884766429214,0.0194426901695651,"PDLIM5/KLF5/CITED2/ATF3/ALPK3/COL11A1/DLL4/ANKRD1/NEBL/MYOZ2/NOG/TNNT2/DNER/PKP2/CHD7",15
"GO:0045785","BP","GO:0045785","positive regulation of cell adhesion","16/238","482/18870",0.000430923954330506,0.0232114631671584,0.0197202487574977,"ZBTB16/TGFBR2/MYADM/LAMA2/NR4A3/RAC3/FSTL3/NID1/CITED2/NEDD9/LEP/CCN1/PDPN/PTPN22/IGFBP2/SERPINF2",16
"GO:0003197","BP","GO:0003197","endocardial cushion development","5/238","52/18870",0.000490676873941223,0.0256140724608112,0.0217614838402109,"TGFBR2/CITED2/ADAMTS5/TMEM100/NOG",5
"GO:0051592","BP","GO:0051592","response to calcium ion","8/238","144/18870",0.000491648338612173,0.0256140724608112,0.0217614838402109,"THBS1/RASGRP2/INHBB/KCNQ3/TRPV6/PLCG2/ALOX5AP/TNNT2",8
"GO:0060840","BP","GO:0060840","artery development","7/238","111/18870",0.000519204557375382,0.0263034778471069,0.022347196408807,"TGFBR2/CITED2/LEP/DLL4/COMP/NOG/CHD7",7
"GO:0048844","BP","GO:0048844","artery morphogenesis","6/238","80/18870",0.000521434582872163,0.0263034778471069,0.022347196408807,"TGFBR2/CITED2/DLL4/COMP/NOG/CHD7",6
"GO:0045778","BP","GO:0045778","positive regulation of ossification","5/238","53/18870",0.000536282953058517,0.026629800387812,0.0226244370821562,"ZBTB16/CCN1/PKDCC/GPM6B/FBN2",5
"GO:0014706","BP","GO:0014706","striated muscle tissue development","11/238","264/18870",0.000550007204319833,0.0268911214665912,0.0228464531025161,"PDLIM5/CITED2/ALPK3/COL11A1/DLL4/ANKRD1/NEBL/NOG/TNNT2/PKP2/CHD7",11
"GO:0061384","BP","GO:0061384","heart trabecula morphogenesis","4/238","32/18870",0.000672264248544165,0.0318873997294531,0.0270912458368544,"ADAMTS1/DLL4/NOG/CHD7",4
"GO:0098868","BP","GO:0098868","bone growth","4/238","32/18870",0.000672264248544165,0.0318873997294531,0.0270912458368544,"TGFBR2/LEP/STC1/COMP",4
"GO:0038066","BP","GO:0038066","p38MAPK cascade","5/238","57/18870",0.000751176028639986,0.0345976437538823,0.029393844598956,"PER1/DUSP1/GADD45B/LEP/PTPN22",5
"GO:0072132","BP","GO:0072132","mesenchyme morphogenesis","5/238","57/18870",0.000751176028639986,0.0345976437538823,0.029393844598956,"TGFBR2/ADAMTS5/TMEM100/ACTG2/NOG",5
"GO:0072593","BP","GO:0072593","reactive oxygen species metabolic process","10/238","234/18870",0.000804395915938288,0.0360698165149741,0.0306445892355034,"GPX3/DCXR/FOXO1/TGFBR2/THBS1/GCH1/LEP/CCN1/PLCG2/PDK4",10
"GO:0030728","BP","GO:0030728","ovulation","3/238","15/18870",0.000805839198415091,0.0360698165149741,0.0306445892355034,"ADAMTS1/INHBB/LEP",3
"GO:0007015","BP","GO:0007015","actin filament organization","15/238","464/18870",0.000849309982891645,0.0365203154149659,0.0310273290183788,"CORO6/MYADM/SYNPO2/RAC3/DAAM2/NEDD9/PIK3R1/CDC42EP3/SORBS1/RGCC/FAM107A/MTSS1/NEBL/RND1/SERPINF2",15
"GO:0046320","BP","GO:0046320","regulation of fatty acid oxidation","4/238","34/18870",0.000850056852672792,0.0365203154149659,0.0310273290183788,"IRS2/NR4A3/PRKAG2/PDK4",4
"GO:0055001","BP","GO:0055001","muscle cell development","9/238","195/18870",0.000850378647170382,0.0365203154149659,0.0310273290183788,"PDLIM5/ATP2A2/ALPK3/COMP/ANKRD1/NEBL/MYOZ2/TNNT2/DNER",9
"GO:0098754","BP","GO:0098754","detoxification","8/238","158/18870",0.000904771164032335,0.0383381701239301,0.032571761905164,"MT2A/GPX3/MT1E/MT1X/TXNRD1/GCH1/MT1M/ALOX5AP",8
"GO:0042692","BP","GO:0042692","muscle cell differentiation","14/238","419/18870",0.000918343090396139,0.0384012413326175,0.0326253466324944,"PDLIM5/SORT1/LAMA2/ATP2A2/KLF5/NID1/ALPK3/ADAMTS5/COMP/ANKRD1/NEBL/MYOZ2/TNNT2/DNER",14
"GO:0008643","BP","GO:0008643","carbohydrate transport","8/238","159/18870",0.000942552755092238,0.0384029827651684,0.0326268261378082,"KLF15/IRS2/SORT1/NR4A3/PRKAG2/PIK3R1/LEP/SORBS1",8
"GO:0035966","BP","GO:0035966","response to topologically incorrect protein","8/238","159/18870",0.000942552755092238,0.0384029827651684,0.0326268261378082,"DNAJB4/THBS1/ATF3/PIK3R1/HSPB3/HSPA2/ERP27/COMP",8
"GO:0051017","BP","GO:0051017","actin filament bundle assembly","8/238","161/18870",0.00102190833649776,0.0404266026097215,0.0343460752190837,"SYNPO2/NEDD9/PIK3R1/SORBS1/RGCC/FAM107A/MTSS1/SERPINF2",8
"GO:1900024","BP","GO:1900024","regulation of substrate adhesion-dependent cell spreading","5/238","61/18870",0.00102463998319313,0.0404266026097215,0.0343460752190837,"MYADM/RAC3/NEDD9/PDPN/PKP2",5
"GO:0061448","BP","GO:0061448","connective tissue development","11/238","285/18870",0.00103038225657251,0.0404266026097215,0.0343460752190837,"ZBTB16/TGFBR2/LEP/CCN1/PKDCC/GDF7/FRZB/COL11A1/STC1/COMP/NOG",11
"GO:0006882","BP","GO:0006882","intracellular zinc ion homeostasis","4/238","36/18870",0.00105863977766932,0.0410287465052817,0.0348576512159411,"MT2A/MT1E/MT1X/MT1M",4
"GO:0050886","BP","GO:0050886","endocrine process","6/238","92/18870",0.00109174526750734,0.0417386337033122,0.0354607649461746,"CORIN/INHBB/LEP/RAB11FIP1/TRPV6/SERPINF2",6
"GO:1903053","BP","GO:1903053","regulation of extracellular matrix organization","5/238","62/18870",0.00110322379832543,0.0417386337033122,0.0354607649461746,"LAMA2/NID1/RGCC/ANGPTL7/PDPN",5
"GO:0046326","BP","GO:0046326","positive regulation of glucose import","4/238","37/18870",0.00117532862544031,0.0422102994737172,0.0358614879103325,"KLF15/IRS2/PIK3R1/SORBS1",4
"GO:0046688","BP","GO:0046688","response to copper ion","4/238","37/18870",0.00117532862544031,0.0422102994737172,0.0358614879103325,"MT2A/MT1E/MT1X/MT1M",4
"GO:0071276","BP","GO:0071276","cellular response to cadmium ion","4/238","37/18870",0.00117532862544031,0.0422102994737172,0.0358614879103325,"MT2A/MT1E/MT1X/MT1M",4
"GO:0044320","BP","GO:0044320","cellular response to leptin stimulus","3/238","17/18870",0.00118210089778503,0.0422102994737172,0.0358614879103325,"NR4A3/INHBB/LEP",3
"GO:0044539","BP","GO:0044539","long-chain fatty acid import into cell","3/238","17/18870",0.00118210089778503,0.0422102994737172,0.0358614879103325,"IRS2/ACSL1/THBS1",3
"GO:0061572","BP","GO:0061572","actin filament bundle organization","8/238","165/18870",0.00119664250937044,0.0422547766086585,0.0358992752811133,"SYNPO2/NEDD9/PIK3R1/SORBS1/RGCC/FAM107A/MTSS1/SERPINF2",8
"GO:0045926","BP","GO:0045926","negative regulation of growth","10/238","247/18870",0.00121159261666222,0.0423125421511269,0.0359483523625055,"MT2A/ALOX15B/MT1E/MT1X/NKD1/CITED2/MT1M/WFDC1/FRZB/NOG",10
"GO:0032956","BP","GO:0032956","regulation of actin cytoskeleton organization","12/238","337/18870",0.00123502709421477,0.0426621315805926,0.0362453603736942,"MYADM/SYNPO2/RAC3/DAAM2/NEDD9/PIK3R1/CDC42EP3/RGCC/FAM107A/GPM6B/MTSS1/SERPINF2",12
"GO:0030111","BP","GO:0030111","regulation of Wnt signaling pathway","12/238","338/18870",0.00126650061518965,0.0432789134954054,0.0367693726990543,"KLF15/FOXO1/NKD1/DAAM2/GPRC5B/EDA/FRZB/APCDD1/NKD2/NOG/LGR5/IGFBP2",12
"GO:0023061","BP","GO:0023061","signal release","15/238","484/18870",0.00129366906195014,0.0437370242433783,0.0371585794389935,"IRS2/FOXO1/SYN2/ATP2A2/GDNF/INHBB/LEP/RAB11FIP1/STX11/MCTP1/TRPV6/CHD7/CADPS2/MYRIP/HTR1B",15
"GO:0008016","BP","GO:0008016","regulation of heart contraction","9/238","208/18870",0.00133667823308248,0.0447154044709065,0.037989802413923,"CACNB2/ADRA1B/CORIN/ATP2A2/GCH1/STC1/KCND3/TNNT2/PKP2",9
"GO:2000146","BP","GO:2000146","negative regulation of cell motility","13/238","388/18870",0.00135597164373452,0.0447621773770452,0.0380295402511082,"DUSP1/ALOX15B/THBS1/CITED2/NAV3/NEDD9/RGCC/ADARB1/MCTP1/SPINT2/STC1/DLL4/NOG",13
"GO:0031669","BP","GO:0031669","cellular response to nutrient levels","10/238","251/18870",0.00136624644605833,0.0447621773770452,0.0380295402511082,"GLUL/FOXO1/PRKAG2/ATF3/INHBB/LEP/FAM107A/MYH13/PDK4/MAP1LC3C",10
"GO:0043649","BP","GO:0043649","dicarboxylic acid catabolic process","3/238","18/18870",0.00140538019326179,0.0455744719814893,0.0387196583857839,"GLUL/ADHFE1/ACOT4",3
"GO:0006887","BP","GO:0006887","exocytosis","12/238","349/18870",0.00165879714570251,0.0518131948579725,0.0440200208044449,"STEAP2/SYN2/ATP2A2/NR4A3/LGI3/RAB11FIP1/STX11/SEPTIN4/TRPV6/NKD2/CADPS2/HTR1B",12
"GO:0035567","BP","GO:0035567","non-canonical Wnt signaling pathway","5/238","68/18870",0.0016719087791654,0.0518131948579725,0.0440200208044449,"FZD8/NKD1/DAAM2/FZD5/FRZB",5
"GO:2000379","BP","GO:2000379","positive regulation of reactive oxygen species metabolic process","5/238","68/18870",0.0016719087791654,0.0518131948579725,0.0440200208044449,"DCXR/TGFBR2/THBS1/LEP/PLCG2",5
"GO:1903522","BP","GO:1903522","regulation of blood circulation","10/238","258/18870",0.00167539429458076,0.0518131948579725,0.0440200208044449,"CACNB2/ADRA1B/CORIN/ATP2A2/GCH1/LEP/STC1/KCND3/TNNT2/PKP2",10
"GO:0034446","BP","GO:0034446","substrate adhesion-dependent cell spreading","6/238","100/18870",0.00167928227513253,0.0518131948579725,0.0440200208044449,"MYADM/RAC3/NEDD9/PIK3R1/PDPN/PKP2",6
"GO:0003203","BP","GO:0003203","endocardial cushion morphogenesis","4/238","41/18870",0.00173265129465656,0.0524415791849384,0.0445538904340257,"TGFBR2/ADAMTS5/TMEM100/NOG",4
"GO:1903115","BP","GO:1903115","regulation of actin filament-based movement","4/238","41/18870",0.00173265129465656,0.0524415791849384,0.0445538904340257,"ATP2A2/STC1/PDPN/PKP2",4
"GO:0002027","BP","GO:0002027","regulation of heart rate","6/238","102/18870",0.00185789148167286,0.0539545934829672,0.0458393336702365,"CACNB2/ADRA1B/ATP2A2/GCH1/KCND3/PKP2",6
"GO:0021510","BP","GO:0021510","spinal cord development","6/238","102/18870",0.00185789148167286,0.0539545934829672,0.0458393336702365,"DAAM2/GDNF/GDF7/ADARB1/DLL4/NOG",6
"GO:0150115","BP","GO:0150115","cell-substrate junction organization","6/238","102/18870",0.00185789148167286,0.0539545934829672,0.0458393336702365,"THBS1/STON1/PIK3R1/SORBS1/FAM107A/GPM6B",6
"GO:0060828","BP","GO:0060828","regulation of canonical Wnt signaling pathway","10/238","262/18870",0.00187607155043533,0.0539545934829672,0.0458393336702365,"FOXO1/NKD1/DAAM2/GPRC5B/EDA/FRZB/NKD2/NOG/LGR5/IGFBP2",10
"GO:0003417","BP","GO:0003417","growth plate cartilage development","3/238","20/18870",0.00192722335341755,0.0539545934829672,0.0458393336702365,"TGFBR2/STC1/COMP",3
"GO:0021516","BP","GO:0021516","dorsal spinal cord development","3/238","20/18870",0.00192722335341755,0.0539545934829672,0.0458393336702365,"DAAM2/GDNF/GDF7",3
"GO:0140354","BP","GO:0140354","lipid import into cell","3/238","20/18870",0.00192722335341755,0.0539545934829672,0.0458393336702365,"IRS2/ACSL1/THBS1",3
"GO:1902001","BP","GO:1902001","fatty acid transmembrane transport","3/238","20/18870",0.00192722335341755,0.0539545934829672,0.0458393336702365,"IRS2/ACSL1/THBS1",3
"GO:0060048","BP","GO:0060048","cardiac muscle contraction","7/238","139/18870",0.00193917707304704,0.0539545934829672,0.0458393336702365,"CACNB2/ADRA1B/ATP2A2/STC1/KCND3/TNNT2/PKP2",7
"GO:0010906","BP","GO:0010906","regulation of glucose metabolic process","6/238","103/18870",0.00195241606373229,0.0539545934829672,0.0458393336702365,"NNMT/IRS2/FOXO1/LEP/SORBS1/PDK4",6
"GO:0060411","BP","GO:0060411","cardiac septum morphogenesis","5/238","72/18870",0.00215469466473565,0.0590312038321543,0.0501523758171229,"TGFBR2/CITED2/CCN1/NOG/CHD7",5
"GO:0044321","BP","GO:0044321","response to leptin","3/238","21/18870",0.00222763659825435,0.0605079411047207,0.0514069984212542,"NR4A3/INHBB/LEP",3
"GO:0030501","BP","GO:0030501","positive regulation of bone mineralization","4/238","44/18870",0.00225514956733886,0.0607361468220586,0.051600879930635,"CCN1/PKDCC/GPM6B/FBN2",4
"GO:0045055","BP","GO:0045055","regulated exocytosis","9/238","227/18870",0.00242752073199589,0.0645573979509654,0.0548473802604174,"STEAP2/SYN2/ATP2A2/NR4A3/RAB11FIP1/STX11/TRPV6/CADPS2/HTR1B",9
"GO:0010907","BP","GO:0010907","positive regulation of glucose metabolic process","4/238","45/18870",0.00245099023910342,0.0645573979509654,0.0548473802604174,"NNMT/IRS2/FOXO1/SORBS1",4
"GO:1902074","BP","GO:1902074","response to salt","12/238","366/18870",0.00245797518944834,0.0645573979509654,0.0548473802604174,"IMPA2/THBS1/RASGRP2/INHBB/LEP/KCNQ3/FABP4/TRPV6/PLCG2/ALOX5AP/TNNT2/HTR1B",12
"GO:0060713","BP","GO:0060713","labyrinthine layer morphogenesis","3/238","22/18870",0.00255553263330085,0.0661300435249832,0.0561834856883117,"FZD5/CCN1/SPINT2",3
"GO:0045598","BP","GO:0045598","regulation of fat cell differentiation","7/238","146/18870",0.00255946990357865,0.0661300435249832,0.0561834856883117,"ZBTB16/FOXO1/SORT1/KLF5/LEP/FRZB/LMO3",7
